name	type	units	low_cutoff	high_cutoff	status
F2Ia1	SEEG	µV	0.0	1024	good
F2Ia2	SEEG	µV	0.0	1024	good
F2Ia3	SEEG	µV	0.0	1024	good
F2Ia4	SEEG	µV	0.0	1024	good
F2Ia5	SEEG	µV	0.0	1024	good
F2Ia6	SEEG	µV	0.0	1024	good
F2Ia7	SEEG	µV	0.0	1024	good
F2Ia8	SEEG	µV	0.0	1024	good
F2Ia9	SEEG	µV	0.0	1024	good
F2Ia10	SEEG	µV	0.0	1024	good
F2Ia11	SEEG	µV	0.0	1024	good
F2Ia12	SEEG	µV	0.0	1024	good
F2Ia13	SEEG	µV	0.0	1024	good
F2Ia14	SEEG	µV	0.0	1024	good
F2Ia15	SEEG	µV	0.0	1024	bad
F2Ia16	SEEG	µV	0.0	1024	bad
F3c1	SEEG	µV	0.0	1024	good
F3c2	SEEG	µV	0.0	1024	good
F3c3	SEEG	µV	0.0	1024	good
F3c4	SEEG	µV	0.0	1024	good
F3c5	SEEG	µV	0.0	1024	good
F3c6	SEEG	µV	0.0	1024	good
F3c7	SEEG	µV	0.0	1024	bad
F3c8	SEEG	µV	0.0	1024	good
F3c9	SEEG	µV	0.0	1024	good
F3c10	SEEG	µV	0.0	1024	good
F3b1	SEEG	µV	0.0	1024	good
F3b2	SEEG	µV	0.0	1024	good
F3b3	SEEG	µV	0.0	1024	good
F3b4	SEEG	µV	0.0	1024	good
F3b5	SEEG	µV	0.0	1024	bad
F3b6	SEEG	µV	0.0	1024	bad
F3b7	SEEG	µV	0.0	1024	good
F3b8	SEEG	µV	0.0	1024	good
F3aOF1	SEEG	µV	0.0	1024	good
F3aOF2	SEEG	µV	0.0	1024	good
F3aOF3	SEEG	µV	0.0	1024	good
F3aOF4	SEEG	µV	0.0	1024	good
F3aOF5	SEEG	µV	0.0	1024	good
F3aOF6	SEEG	µV	0.0	1024	good
F3aOF7	SEEG	µV	0.0	1024	good
F3aOF8	SEEG	µV	0.0	1024	good
F3d1	SEEG	µV	0.0	1024	good
F3d2	SEEG	µV	0.0	1024	good
F3d3	SEEG	µV	0.0	1024	good
F3d4	SEEG	µV	0.0	1024	good
F3d5	SEEG	µV	0.0	1024	good
F3d6	SEEG	µV	0.0	1024	good
F3d7	SEEG	µV	0.0	1024	good
F3d8	SEEG	µV	0.0	1024	good
F3d9	SEEG	µV	0.0	1024	good
F3d10	SEEG	µV	0.0	1024	good
T1aIc1	SEEG	µV	0.0	1024	good
T1aIc2	SEEG	µV	0.0	1024	good
T1aIc3	SEEG	µV	0.0	1024	good
T1aIc4	SEEG	µV	0.0	1024	good
T1aIc5	SEEG	µV	0.0	1024	good
T1aIc6	SEEG	µV	0.0	1024	good
P2a1	SEEG	µV	0.0	1024	good
P2a2	SEEG	µV	0.0	1024	good
P2a3	SEEG	µV	0.0	1024	good
P2a4	SEEG	µV	0.0	1024	good
P2a5	SEEG	µV	0.0	1024	good
P2a6	SEEG	µV	0.0	1024	good
P2a7	SEEG	µV	0.0	1024	good
P2a8	SEEG	µV	0.0	1024	good
P2a9	SEEG	µV	0.0	1024	good
P2a10	SEEG	µV	0.0	1024	good
T1b1	SEEG	µV	0.0	1024	good
T1b2	SEEG	µV	0.0	1024	good
T1b3	SEEG	µV	0.0	1024	good
T1b4	SEEG	µV	0.0	1024	good
T1b5	SEEG	µV	0.0	1024	good
T1b6	SEEG	µV	0.0	1024	good
T1cIe1	SEEG	µV	0.0	1024	good
T1cIe2	SEEG	µV	0.0	1024	good
T1cIe3	SEEG	µV	0.0	1024	bad
T1cIe4	SEEG	µV	0.0	1024	bad
T1cIe5	SEEG	µV	0.0	1024	good
T1cIe6	SEEG	µV	0.0	1024	good
T1cIe7	SEEG	µV	0.0	1024	good
T1cIe8	SEEG	µV	0.0	1024	good
T1cIe9	SEEG	µV	0.0	1024	good
T1cIe10	SEEG	µV	0.0	1024	good
T1cIe11	SEEG	µV	0.0	1024	good
T1cIe12	SEEG	µV	0.0	1024	good
P2b1	SEEG	µV	0.0	1024	good
P2b2	SEEG	µV	0.0	1024	bad
P2b3	SEEG	µV	0.0	1024	good
P2b4	SEEG	µV	0.0	1024	good
P2b5	SEEG	µV	0.0	1024	good
P2b6	SEEG	µV	0.0	1024	good
P2b7	SEEG	µV	0.0	1024	good
P2b8	SEEG	µV	0.0	1024	good
P2b9	SEEG	µV	0.0	1024	good
P2b10	SEEG	µV	0.0	1024	good
P2b11	SEEG	µV	0.0	1024	good
P2b12	SEEG	µV	0.0	1024	good
P2b13	SEEG	µV	0.0	1024	good
P2b14	SEEG	µV	0.0	1024	good
P2b15	SEEG	µV	0.0	1024	good
P2b16	SEEG	µV	0.0	1024	good
O1aIb1	SEEG	µV	0.0	1024	good
O1aIb2	SEEG	µV	0.0	1024	good
O1aIb3	SEEG	µV	0.0	1024	good
O1aIb4	SEEG	µV	0.0	1024	good
O1aIb5	SEEG	µV	0.0	1024	good
O1aIb6	SEEG	µV	0.0	1024	good
O1aIb7	SEEG	µV	0.0	1024	good
O1aIb8	SEEG	µV	0.0	1024	good
O1aIb9	SEEG	µV	0.0	1024	good
O1aIb10	SEEG	µV	0.0	1024	good
O1aIb11	SEEG	µV	0.0	1024	good
O1aIb12	SEEG	µV	0.0	1024	good
O1aIb13	SEEG	µV	0.0	1024	good
O1aIb14	SEEG	µV	0.0	1024	good
O1aIb15	SEEG	µV	0.0	1024	good
O1aIb16	SEEG	µV	0.0	1024	good
O1bId1	SEEG	µV	0.0	1024	good
O1bId2	SEEG	µV	0.0	1024	good
O1bId3	SEEG	µV	0.0	1024	good
O1bId4	SEEG	µV	0.0	1024	good
O1bId5	SEEG	µV	0.0	1024	good
O1bId6	SEEG	µV	0.0	1024	bad
O1bId7	SEEG	µV	0.0	1024	bad
O1bId8	SEEG	µV	0.0	1024	good
O1bId9	SEEG	µV	0.0	1024	good
O1bId10	SEEG	µV	0.0	1024	good
O1bId11	SEEG	µV	0.0	1024	good
O1bId12	SEEG	µV	0.0	1024	good
O1bId13	SEEG	µV	0.0	1024	good
O1bId14	SEEG	µV	0.0	1024	good
O1bId15	SEEG	µV	0.0	1024	good
O1bId16	SEEG	µV	0.0	1024	good
DC10	SEEG	µV	0.0	1024	bad
DC4	SEEG	µV	0.0	1024	bad
