name	x	y	z	size	material	hemisphere	type	region_desikan	region_destrieux	region_dkt	barista_parcel_index	barista_lobe_index
T2bH1	109	135	131	n/a	n/a	n/a	depth	Right-Hippocampus	Right-Hippocampus	Right-Hippocampus	6	4
T2bH2	106	134	133	n/a	n/a	n/a	depth	Right-Hippocampus	Right-Hippocampus	Right-Hippocampus	6	4
T2bH3	102	133	133	n/a	n/a	n/a	depth	Right-Hippocampus	Right-Hippocampus	Right-Hippocampus	6	4
T2bH4	99	133	135	n/a	n/a	n/a	depth	Right-Hippocampus	Right-Hippocampus	Right-Hippocampus	6	4
T2bH5	96	132	135	n/a	n/a	n/a	depth	Right-Hippocampus	Right-Hippocampus	Right-Hippocampus	6	4
T2bH6	93	132	137	n/a	n/a	R	depth	ctx-rh-parahippocampal	ctx_rh_S_oc-temp_med_and_Lingual	ctx-rh-parahippocampal	108	10
T2bH7	89	131	137	n/a	n/a	R	depth	ctx-rh-fusiform	ctx_rh_S_collat_transv_ant	ctx-rh-fusiform	102	10
T2bH8	86	131	139	n/a	n/a	R	depth	ctx-rh-fusiform	ctx_rh_S_collat_transv_ant	ctx-rh-fusiform	102	10
T2bH9	83	130	139	n/a	n/a	R	depth	ctx-rh-inferiortemporal	ctx_rh_S_collat_transv_ant	ctx-rh-inferiortemporal	102	10
T2bH10	78	129	140	n/a	n/a	R	depth	ctx-rh-inferiortemporal	ctx_rh_S_temporal_inf	ctx-rh-inferiortemporal	118	10
T2bH11	76	129	142	n/a	n/a	R	depth	ctx-rh-inferiortemporal	ctx_rh_S_temporal_inf	ctx-rh-inferiortemporal	118	10
T2bH12	73	129	144	n/a	n/a	R	depth	ctx-rh-inferiortemporal	ctx_rh_S_temporal_inf	ctx-rh-inferiortemporal	118	10
T2bH13	70	129	145	n/a	n/a	R	depth	ctx-rh-middletemporal	ctx_rh_G_temporal_middle	ctx-rh-middletemporal	92	10
T2bH14	67	129	146	n/a	n/a	R	depth	ctx-rh-middletemporal	ctx_rh_G_temporal_middle	ctx-rh-middletemporal	92	10
T2bH15	63	128	146	n/a	n/a	R	depth	ctx-rh-middletemporal	ctx_rh_G_temporal_middle	ctx-rh-middletemporal	92	10
T2bH16	60	128	146	n/a	n/a	R	depth	ctx-rh-middletemporal	ctx_rh_G_temporal_middle	ctx-rh-middletemporal	92	10
