name	x	y	z	size	material	hemisphere	type	region_desikan	region_destrieux	region_dkt
T2aHa1	107	143	128	n/a	platinum-iridium	n/a	depth	Right-Hippocampus	Right-Hippocampus	Right-Hippocampus
T2aHa2	104	143	129	n/a	platinum-iridium	n/a	depth	Right-Hippocampus	Right-Hippocampus	Right-Hippocampus
T2aHa3	101	142	129	n/a	platinum-iridium	n/a	depth	Right-Hippocampus	Right-Hippocampus	Right-Hippocampus
T2aHa4	98	143	129	n/a	platinum-iridium	R	depth	ctx-rh-insula	ctx_rh_G_oc-temp_med-Parahip	ctx-rh-parahippocampal
T2aHa5	94	143	129	n/a	platinum-iridium	R	depth	ctx-rh-insula	ctx_rh_G_oc-temp_med-Parahip	ctx-rh-parahippocampal
T2aHa6	94	144	129	n/a	platinum-iridium	R	depth	ctx-rh-insula	ctx_rh_G_oc-temp_med-Parahip	ctx-rh-parahippocampal
T2aHa7	87	145	129	n/a	platinum-iridium	R	depth	ctx-rh-temporalpole	ctx_rh_G_temp_sup-Plan_polar	ctx-rh-superiortemporal
T2aHa8	83	143	127	n/a	platinum-iridium	R	depth	ctx-rh-insula	ctx_rh_G_temp_sup-Plan_polar	ctx-rh-superiortemporal
T2aHa9	80	143	128	n/a	platinum-iridium	R	depth	ctx-rh-superiortemporal	ctx_rh_G_temp_sup-Plan_polar	ctx-rh-superiortemporal
T2aHa10	78	143	129	n/a	platinum-iridium	R	depth	ctx-rh-superiortemporal	ctx_rh_G_temp_sup-Plan_polar	ctx-rh-superiortemporal
T2aHa11	73	143	129	n/a	platinum-iridium	R	depth	ctx-rh-superiortemporal	ctx_rh_G_temp_sup-Plan_polar	ctx-rh-superiortemporal
T2aHa12	70	143	129	n/a	platinum-iridium	R	depth	ctx-rh-superiortemporal	ctx_rh_G_temp_sup-Plan_polar	ctx-rh-superiortemporal
T1aA1	109	135	116	n/a	platinum-iridium	n/a	depth	Right-Amygdala	Right-Amygdala	Right-Amygdala
T1aA2	107	134	117	n/a	platinum-iridium	n/a	depth	Right-Amygdala	Right-Amygdala	Right-Amygdala
T1aA3	103	133	118	n/a	platinum-iridium	n/a	depth	Right-Amygdala	Right-Amygdala	Right-Amygdala
T1aA4	101	132	119	n/a	platinum-iridium	n/a	depth	Right-Amygdala	Right-Amygdala	Right-Amygdala
T1aA5	97	131	119	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-superiorfrontal
T1aA6	94	130	120	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
T1aA7	92	129	121	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
T1aA8	88	129	122	n/a	platinum-iridium	R	depth	ctx-rh-parsorbitalis	ctx_rh_G_orbital	ctx-rh-parsorbitalis
T1aA9	84	127	122	n/a	platinum-iridium	R	depth	ctx-rh-parsorbitalis	ctx_rh_G_orbital	ctx-rh-parsorbitalis
T1aA10	81	127	124	n/a	platinum-iridium	R	depth	ctx-rh-parstriangularis	ctx_rh_Lat_Fis-ant-Horizont	ctx-rh-parstriangularis
T1aA11	78	125	124	n/a	platinum-iridium	R	depth	ctx-rh-parstriangularis	ctx_rh_S_orbital_lateral	ctx-rh-parstriangularis
T1aA12	75	125	126	n/a	platinum-iridium	R	depth	ctx-rh-parstriangularis	ctx_rh_Lat_Fis-ant-Horizont	ctx-rh-parstriangularis
T1aA13	72	124	127	n/a	platinum-iridium	R	depth	ctx-rh-parstriangularis	ctx_rh_G_front_inf-Triangul	ctx-rh-parstriangularis
T1aA14	70	123	127	n/a	platinum-iridium	R	depth	ctx-rh-parstriangularis	ctx_rh_G_front_inf-Triangul	ctx-rh-parstriangularis
F3IaOF1	120	122	108	n/a	platinum-iridium	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Ant	ctx-rh-superiorfrontal
F3IaOF2	118	121	109	n/a	platinum-iridium	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Ant	ctx-rh-superiorfrontal
F3IaOF3	116	121	110	n/a	platinum-iridium	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Ant	ctx-rh-superiorfrontal
F3IaOF4	113	120	111	n/a	platinum-iridium	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Ant	ctx-rh-superiorfrontal
F3IaOF5	109	119	113	n/a	platinum-iridium	n/a	depth	Right-Putamen	Right-Putamen	Right-Putamen
F3IaOF6	105	118	115	n/a	platinum-iridium	n/a	depth	Right-Putamen	Right-Putamen	Right-Putamen
F3IaOF7	99	117	115	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-superiorfrontal
F3IaOF8	97	117	117	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-superiorfrontal
F3IaOF9	95	116	119	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F3IaOF10	92	115	121	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F3IaOF11	87	113	122	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-rostralmiddlefrontal
F3IaOF12	85	114	124	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-rostralmiddlefrontal
F3IaOF13	81	113	126	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-rostralmiddlefrontal
F3IaOF14	77	112	128	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-caudalmiddlefrontal
F3IaOF15	74	110	129	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-caudalmiddlefrontal
F3IaOF16	70	110	131	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-caudalmiddlefrontal
P2Ie1	100	119	140	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-rostralmiddlefrontal
P2Ie2	99	118	141	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-rostralmiddlefrontal
P2Ie3	97	117	141	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-rostralmiddlefrontal
P2Ie4	95	116	142	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-rostralmiddlefrontal
P2Ie5	93	116	142	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-rostralmiddlefrontal
P2Ie6	91	116	143	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-caudalmiddlefrontal
P2Ie7	89	116	143	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-caudalmiddlefrontal
P2Ie8	87	115	144	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-caudalmiddlefrontal
P2Ie9	86	115	145	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-caudalmiddlefrontal
P2Ie10	83	114	145	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_front_inf	ctx-rh-caudalmiddlefrontal
P2Ie11	82	114	145	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_front_inf	ctx-rh-caudalmiddlefrontal
P2Ie12	80	114	145	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_front_inf	ctx-rh-caudalmiddlefrontal
P2Ie13	78	114	146	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_front_inf	ctx-rh-caudalmiddlefrontal
P2Ie14	76	114	146	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_front_inf	ctx-rh-caudalmiddlefrontal
P2Ie15	74	113	147	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_precentral-inf-part	ctx-rh-caudalmiddlefrontal
P2Ie16	72	113	147	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-caudalmiddlefrontal
T1bId1	99	123	136	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-rostralmiddlefrontal
T1bId2	98	123	136	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-rostralmiddlefrontal
T1bId3	96	124	136	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-rostralmiddlefrontal
T1bId4	94	124	137	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_inf	ctx-rh-rostralmiddlefrontal
T1bId5	92	125	137	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_inf	ctx-rh-rostralmiddlefrontal
T1bId6	90	125	138	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_inf	ctx-rh-rostralmiddlefrontal
